api_unii,smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,NumAliphaticRings,RingCount,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolMR,LabuteASA,BalabanJ,BertzCT,HallKierAlpha,NumSaturatedRings,NumHeteroatoms,NHOHCount
4Q81I59GXC,c1cc(c(cc1N)C(=O)O)O,153.137,0.6725999999999999,83.55000000000001,3.0,3.0,1.0,1.0,0.0,1.0,0.0,11.0,58.0,39.4785,62.88622553534208,3.232208870305492,282.08982642577905,-1.7099999999999995,0.0,4.0,4.0
82F2G7BL4E,C[C@H]1[C@H]([C@H](C[C@@]([H])(O1)O[C@H]2C[C@@](Cc3c2c(c4c(C(=O)c5cccc(c5C4=O)OC)c3O)O)(C(=O)CO)O)N)O.Cl,579.9860000000002,0.4231000000000001,206.07,6.0,12.0,5.0,2.0,3.0,5.0,0.4444444444444444,40.0,216.0,139.0024000000001,234.23449028011652,3.697992945362399e-06,1336.8237647932458,-3.1,1.0,13.0,7.0
IU5QR144QX,C[C@]12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+],372.41800000000006,-0.0451999999999994,83.5,0.0,5.0,2.0,1.0,3.0,4.0,0.6111111111111112,25.0,130.0,86.39120000000005,170.31932187002988,1.82249833230158e-06,776.2563794508653,-0.4000000000000001,2.0,7.0,0.0
HEC37C70XX,CC(C)NCC(c1ccc(cc1)NS(=O)(=O)C)O.Cl,308.831,1.5113,78.42999999999999,3.0,4.0,6.0,1.0,0.0,1.0,0.5,19.0,110.0,80.25500000000002,120.42888307025322,3.239997926401392e-06,443.3166070525691,-0.8200000000000001,0.0,7.0,3.0
7SEV7J4R1U,[Mg+2].[Mg+2].[Mg+2].[O-][Si]12O[Si]3([O-])O[Si]([O-])(O1)O[Si]([O-])(O2)O3.[OH-].[OH-],379.2630000000001,-8.185599999999997,207.62,0.0,12.0,0.0,0.0,4.0,4.0,0.0,19.0,96.0,50.6596,158.48342156382867,-5.11999968256002e-07,192.86456071487643,2.686233766233766,4.0,19.0,2.0
RUM6K67ESG,CCCCC[C@@H](CC[C@@H]1[C@@]2([H])Cc3cccc(c3C[C@@]2([H])C[C@H]1O)OCC(=O)O)O,390.52000000000015,3.583200000000002,86.99000000000001,3.0,4.0,10.0,1.0,2.0,3.0,0.6956521739130435,28.0,156.0,107.45740000000008,167.28152534331952,1.6231389319130176,639.4384376549345,-1.59,1.0,5.0,3.0
614OI1Z5WI,CCCC(CCC)C(=O)O,144.214,2.2874,37.3,1.0,1.0,5.0,0.0,0.0,0.0,0.875,10.0,60.0,40.9418,62.24960168084558,3.609578052682948,86.2114326716684,-0.53,0.0,2.0,1.0
02O55696WH,CN(C)CCOC(c1ccc(cc1)Cl)c2ccccn2.C(=C/C(=O)O)/C(=O)O,406.8660000000001,3.1144000000000007,99.96,2.0,5.0,8.0,2.0,0.0,2.0,0.25,28.0,150.0,106.4496000000001,168.3970092884934,4.16499967332753e-07,713.3675951229802,-2.7400000000000007,0.0,8.0,2.0
98PI200987,CCN(CC)CC(=O)Nc1c(C)cccc1C,234.343,2.5837400000000006,32.34,1.0,2.0,5.0,1.0,0.0,1.0,0.5,17.0,94.0,72.33370000000005,103.82215798852502,2.680267656047493,349.37474216645927,-1.35,0.0,3.0,1.0
TC2D6JAD40,CN(C)CCOC(c1ccccc1)c2ccccc2.Cl,291.822,3.776000000000004,12.47,0.0,2.0,6.0,2.0,0.0,2.0,0.2941176470588235,20.0,108.0,86.48100000000005,127.33968004980372,1.9999987060008734e-06,416.4116881365323,-1.3499999999999996,0.0,3.0,0.0
1B8447E7YI,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,598.0920000000004,5.314100000000005,144.60000000000002,4.0,6.0,14.0,3.0,0.0,3.0,0.28125,42.0,224.0,161.46919999999974,249.8091556900297,4.011051801940083e-07,1265.163885616277,-4.179999999999999,0.0,10.0,4.0
NW2RTH6T2N,CCC(=O)O[C@H](C(C)C)O[P@](=O)(CCCCc1ccccc1)CC(=O)N2C[C@@H](C[C@H]2C(=O)[O-])C3CCCCC3.[Na+],585.654,1.7906000000000024,113.04,0.0,7.0,14.0,1.0,2.0,3.0,0.7,40.0,218.0,148.0044999999999,261.2337455204341,5.603319074937844e-06,953.0122712472388,-1.1799999999999995,2.0,10.0,0.0
13T4O6VMAM,CN1C(=C(c2ccccc2S1(=O)=O)O)C(=O)Nc3ccccn3,331.353,1.5810000000000002,99.6,2.0,5.0,2.0,2.0,1.0,3.0,0.0666666666666666,23.0,118.0,83.80630000000004,132.49870717684675,2.0932817931934427,874.6453711332975,-2.87,0.0,8.0,2.0
SOA12P041N,CC(=O)Oc1ccccc1C(=O)Nc2ncc([N+](=O)[O-])s2,307.28700000000003,2.2289000000000003,111.43,1.0,7.0,4.0,2.0,0.0,2.0,0.0833333333333333,21.0,108.0,74.47260000000001,122.08276225581106,2.1948856079562464,679.5688027736994,-2.81,0.0,9.0,1.0
D0GX863OA5,C/C(=C\C(=O)OCCCCCCCCC(=O)O)/C[C@H]1[C@@H]([C@@H]([C@@H](C[C@@]2([H])[C@]([H])([C@@H](C)[C@H](C)O)O2)CO1)O)O,500.6290000000001,2.592500000000002,146.05,4.0,8.0,16.0,0.0,2.0,2.0,0.8461538461538461,35.0,202.0,128.6542000000001,208.0021534458943,1.6150722202375691,663.525795434798,-1.5200000000000002,2.0,9.0,4.0
PUG62FRZ2E,CC(C)C[C@H](C(=O)N[C@@H]1[C@@H](c2ccc(c(c2)Cl)Oc3cc4cc(c3O[C@H]5[C@@H]([C@H]([C@@H]([C@@H](CO)O5)O)O)O[C@@]6([H])C[C@@](C)([C@H]([C@H](C)O6)O)NCc7ccc(cc7)-c8ccc(cc8)Cl)Oc9ccc(cc9Cl)[C@H]([C@@]%10([H])C(=O)N[C@@]([H])(c%11cc(cc(c%11-c%12cc(ccc%12O)[C@]([H])(C(=O)N%10)NC(=O)[C@]4([H])NC(=O)[C@H](CC(=O)N)NC1=O)O)O)C(=O)O)O[C@@]%13([H])C[C@@](C)([C@H]([C@H](C)O%13)O)N)O)NC,1793.125000000001,4.49520000000001,560.98,20.0,28.0,19.0,7.0,8.0,15.0,0.4186046511627907,125.0,668.0,445.2494000000006,729.927788170056,1.016357124073679,5094.2479224651215,-10.58999999999999,3.0,39.0,22.0
554Z48XN5E,Cn1cc[nH]c1=S,114.173,1.08269,20.72,1.0,1.0,0.0,1.0,0.0,1.0,0.25,7.0,38.0,30.5977,46.79390536965459,3.391829211284276,187.80326908731087,-0.5700000000000001,0.0,3.0,1.0
W46JY43EJR,c1cnc(nc1)[N-]S(=O)(=O)c2ccc(cc2)N.[Ag+],357.14300000000003,1.4504,100.04,1.0,5.0,3.0,2.0,0.0,2.0,0.0,18.0,98.0,63.09120000000002,120.21172491378354,1.619999209350399e-06,569.6952539542382,-1.4097402597402595,0.0,8.0,2.0
