excipient_names,hpe_monograph,hpe_page,match_method,Emulsifying agent,Antimicrobial preservative,Tablet and capsule diluent,Tablet binder,Stabilizing agent,Solvent,Suspending agent,Coating agent,Viscosity-increasing agent,Emollient,Sweetening agent,Therapeutic agent,Solubilizing agent,Antioxidant,Buffering agent,Flavoring agent,Thickening agent,Plasticizer,Tablet and capsule lubricant,Adsorbent,Oleaginous vehicle,Alkalizing agent,Antiseptic,Disinfectant,Film-forming agent,Sustained-release agent,Wetting agent,Emulsion stabilizer,Humectant,Tablet and capsule disintegrant,Acidifying agent,Aerosol propellant,Skin penetrant,Stiffening agent,Controlled-release agent,Lubricant,Ointment base,Anticaking agent,Diluent,Dissolution enhancer,Gelling agent,Glidant,Sequestering agent,Tablet disintegrant,Dispersing agent,Flavor enhancer,Granulation aid,Opacifier,Tablet filler,Nonionic surfactant,Tonicity agent,Bioadhesive material,Chelating agent,Disintegrant,Tablet diluent,Acidulant,Biodegradable material,Extended-release agent,Mucoadhesive,Penetration agent,Release-modifying agent,Tablet and capsule filler,Anionic surfactant,Antifoaming agent,Cationic surfactant,Colorant,Complexing agent,Dietary supplement,Directly compressible tablet excipient,Dry powder inhaler carrier,Penetration enhancer,Suppository base,Surfactant,Taste-masking agent,Vaccine adjuvant,Water-absorbing agent,Air displacement,Alcohol denaturant,Astringent,Binding agent,Freeze-drying agent,Lyophilization aid,Modified-release agent,Thermal stabilizer,Water-repelling agent,Absorption enhancer,Antacid,Antiadherent,Bioabsorbable material,Biocompatibility enhancer,Biocompatible material,Bittering agent,Bulking agent,Color adjuvant,Color dispersant,Compression aid,Confectionery base,Cooling agent,Cosolvent,Crosslinking agent,Desiccant,Detergent,Diagnostic aid,Encapsulating agent,Enteric coating agent,Esterifying agent,Fecal softener,Foam stabilizer,Foaming agent,Food additive,Gel base,Matrix-forming agent,Medicated confectionary base,Membrane-forming agent,Organic base,Osmotic agent,Pigment,Polishing agent,Preservative,Rheology modifier,Solubility enhancing agent,Sucrose crystallization modifier,Tablet lubricant,Transdermal delivery component,Viscosity-controlling agent,Water-miscible cosolvent
"CROSPOVIDONE (12 MPA.S AT 5%), CROSPOVIDONE (35 .MU.M)",Crospovidone,208,grade_stripped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYDROXYPROPYL CELLULOSE (70000 WAMW), HYDROXYPROPYL CELLULOSE (TYPE E)",Hydroxypropyl Cellulose,317,grade_stripped,1,,,1,1,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOYBEAN OIL, soybean oil",Soybean Oil,682,exact,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPYL GALLATE,Propyl Gallate,587,exact,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEIC ACID,Oleic Acid,466,exact,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYETHYLENE GLYCOL 3000,Polyethylene Glycol,517,grade_stripped,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYOXYL 40 HYDROGENATED CASTOR OIL,"Castor Oil, Hydrogenated",128,exact,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALIC ACID,Malic Acid,411,exact,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetic Acid,"Acetic Acid, Glacial",5,NOT in HPE,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METHYL ALCOHOL,Alcohol,17,NOT in HPE,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ALGINIC ACID, alginic acid",Alginic Acid,20,exact,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAR GUM,Guar Gum,298,exact,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METHYLCELLULOSE (100 MPA.S),Methylcellulose,438,grade_stripped,1,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS","Sodium Phosphate, Dibasic",656,exact,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYPROMELLOSE PHTHALATE (24% PHTHALATE, 55 CST), Hypromellose Phthalate (24% Phthalate, 55 Cst), hypromellose phthalate (24% phthalate, 55 CST)",Hypromellose,326,grade_stripped,1,,,1,1,,1,1,1,,,,1,,,,1,,,,,,,,1,1,,1,,,,,,,1,,,,,1,,,,,1,,1,,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"CARBOXYMETHYLCELLULOSE CALCIUM, carboxymethylcellulose calcium",Carboxymethylcellulose Calcium,117,exact,1,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUMARIC ACID,Fumaric Acid,276,exact,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEXTROSE, UNSPECIFIED FORM",Dextrose,222,exact,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NONCRYSTALLIZING SORBITOL SOLUTION, Noncrystallizing sorbitol solution",Sorbitol,679,NOT in HPE,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYETHYLENE OXIDE 200000,Polyethylene Oxide,522,grade_stripped,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPROMELLOSE 2208 (4000 MPA.S),Hypromellose,326,grade_stripped,1,,,1,1,,1,1,1,,,,1,,,,1,,,,,,,,1,1,,1,,,,,,,1,,,,,1,,,,,1,,1,,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
SODIUM PROPIONATE,Sodium Propionate,661,exact,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SODIUM CARBONATE,Sodium Carbonate,635,exact,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPROMELLOSE ACETATE SUCCINATE 06081224 (3 MPA.S),Hypromellose Acetate Succinate,330,grade_stripped,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,
ZINC STEARATE,Zinc Stearate,793,exact,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METHYLCELLULOSE (15 CPS),Methylcellulose,438,grade_stripped,1,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALTITOL,Maltitol,414,exact,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ETHYLCELLULOSE (100 CPS), ETHYLCELLULOSE (100 MPA.S), ethylcellulose (100 mpa.s)",Ethylcellulose,262,grade_stripped,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"STARCH, POTATO, starch, potato",Starch,685,exact,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYPROMELLOSE PHTHALATE (31% PHTHALATE, 40 CST)",Hypromellose,326,grade_stripped,1,,,1,1,,1,1,1,,,,1,,,,1,,,,,,,,1,1,,1,,,,,,,1,,,,,1,,,,,1,,1,,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
magnesium carbonate,Magnesium Carbonate,397,exact,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROCRYSTALLINE CELLULOSE 112,"Cellulose, Microcrystalline",129,grade_stripped,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENZOIC ACID,Benzoic Acid,61,Exact,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphoric Acid,Phosphoric Acid,503,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIBASIC CALCIUM PHOSPHATE,"Calcium Phosphate, Tribasic",99,exact,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYPROMELLOSE 2910 (15000 MPA.S), Hypromellose 2910 (15000 MPA.S)",Hypromellose,326,grade_stripped,1,,,1,1,,1,1,1,,,,1,,,,1,,,,,,,,1,1,,1,,,,,,,1,,,,,1,,,,,1,,1,,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
SODIUM PHOSPHATE DIBASIC DIHYDRATE,"Sodium Phosphate, Dibasic",656,exact,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENTHOL,Menthol,433,exact,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACETYLTRIBUTYL CITRATE,Acetyltributyl Citrate,8,exact,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEANUT OIL, Peanut Oil",Peanut Oil,476,exact,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLYVINYL ACETATE PHTHALATE, Polyvinyl Acetate Phthalate",Polyvinyl Acetate Phthalate,562,exact,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHYLCELLULOSE (20 MPA.S),Ethylcellulose,262,grade_stripped,,,,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYETHYLENE GLYCOL 1000,Polyethylene Glycol,517,grade_stripped,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METHYLPARABEN SODIUM,Methylparaben,441,exact,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DEXTRATES, dextrates",Dextrates,218,exact,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALCIUM PHOSPHATE,"Calcium Phosphate, Dibasic Anhydrous",94,exact,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINERAL OIL,Mineral Oil,445,exact,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTYLPARABEN, Butylparaben,78,fuzzy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYDROXYETHYL CELLULOSE (140 CPS AT 5%), HYDROXYETHYL CELLULOSE (140 MPA.S AT 5%), hydroxyethyl cellulose (140 MPA.S at 5%)",Hydroxyethyl Cellulose,311,grade_stripped,,,,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTASSIUM CHLORIDE,Potassium Chloride,572,exact,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethyl acetate,Ethyl Acetate,253,exact,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLYCINE,Glycine,295,exact,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CETYL ALCOHOL,Cetyl Alcohol,155,exact,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDETATE CALCIUM DISODIUM,Disodium Edetate,242,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYVINYL ACETATE,Polyvinyl Acetate Phthalate,562,NOT in HPE,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MODIFIED CORN STARCH (1-OCTENYL SUCCINIC ANHYDRIDE), modified corn starch (1-octenyl succinic anhydride)",Starch,685,NOT in HPE,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYDROXYETHYL CELLULOSE (2000 CPS AT 1%), HYDROXYETHYL CELLULOSE (2000 MPA.S AT 1%), Hydroxyethyl Cellulose (2000 Cps At 1%), Hydroxyethyl Cellulose (2000 Mpa.S At 1%), hydroxyethyl cellulose (2000 MPA.S AT 1%)",Hydroxyethyl Cellulose,311,grade_stripped,,,,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTASSIUM CARBONATE,Potassium Bicarbonate,570,NOT in HPE,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOCOPHEROL,Alpha Tocopherol,31,exact,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACETONE,Acetone,7,exact,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YELLOW WAX, yellow wax","Wax, Yellow",780,exact,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
SODIUM ACETATE,Sodium Acetate,620,exact,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYDROXYETHYL CELLULOSE, UNSPECIFIED",Hydroxyethyl Cellulose,311,exact,,,,1,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPYLPARABEN SODIUM,Propylparaben Sodium,599,exact,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALUMINUM HYDROXIDE,Aluminum Hydroxide Adjuvant,34,exact,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRUCTOSE,Fructose,273,exact,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTOR OIL,Castor Oil,126,exact,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SESAME OIL, sesame oil",Sesame Oil,614,exact,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE WAX,"Wax, White",779,exact,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HYDROGENATED SOYBEAN OIL, Hydrogenated Soybean Oil",Soybean Oil,682,NOT in HPE,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
POLYETHYLENE GLYCOL 300,Polyethylene Glycol,517,grade_stripped,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NITROGEN,Nitrogen,461,exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SODIUM METABISULFITE,Sodium Metabisulfite,654,exact,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTASSIUM BICARBONATE,Potassium Bicarbonate,570,exact,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"METHYLCELLULOSE, UNSPECIFIED",Methylcellulose,438,exact,1,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORN OIL,Corn Oil,199,exact,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
